species,prob_0.95,prob_0.9,prob_0.8,prob_0.5,prob_0.2,prob_0.1,prob_0.05,deciduous_territory_radius_min,deciduous_territory_radius_max
Columba palumbus,290,315,342,389,435,462,488,65,123
Dryocopus martius,217,240,266,308,351,376,399,252,564
Columba oenas,333,356,381,423,465,489,512,,
Accipiter nisus,155,165,176,195,214,225,235,,
Cuculus canorus,351,382,416,474,532,567,598,146,326
Turdus philomelos,134,150,167,197,227,244,260,50,88
Turdus merula,123,134,146,166,187,199,210,53,95
Dendrocopos major,66,78,91,113,135,148,160,63,133
Loxia curvirostra,82,95,109,134,158,172,185,,
Oriolus oriolus,152,173,195,234,272,295,315,146,564
Anthus trivialis,69,82,97,122,147,162,175,,
Lullula arborea,100,117,135,166,197,215,232,,
Parus major,190,192,194,197,200,202,204,45,86
Sylvia atricapilla,86,100,115,142,168,183,198,40,74
Luscinia megarhynchos,90,108,126,158,190,209,226,,
Fringilla coelebs,90,108,126,158,190,209,226,26,44
Prunella modularis,37,53,71,102,133,151,168,178,
Erithacus rubecula,42,67,94,141,187,214,239,38,71
Ficedula hypoleuca,33,51,71,105,138,158,176,126,326
Lophophanes cristatus,108,120,134,157,180,194,207,126,
Cyanistes caeruleus,144,146,148,151,155,157,158,56,107
Troglodytes troglodytes,78,97,117,153,188,208,227,61,111
Ficedula parva,64,82,102,136,170,189,208,113,
Phylloscopus trochilus,101,111,122,141,159,170,180,,
Poecile palustris,81,94,107,131,155,169,181,80,146
Certhia brachydactyla,92,104,117,139,161,174,186,,
Certhia familiaris,143,145,147,150,153,155,157,89,151
Phylloscopus sibilatrix,143,144,146,150,153,155,157,36,163
Aegithalos caudatus,,22,50,98,146,174,199,252,252
Phylloscopus collybita,69,86,105,137,169,187,205,113,
Regulus regulus,68,79,92,113,135,148,159,89,200
